main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,variant_1,variant_2,compounded_word,notes
0,ZERO,O,,O,,1,,,,number
1,ONE,D,,D,,1,,,,number
1,ONE,1,,1,,1,,,,number
1/3,ONE-THIRD,1,,3,,1,,,,number
1/4,ONE-FOURTH,1,,4,,1,,,,number
100,ONE+HUNDRED,1,,C,,1,,,ONE+HUNDRED,number
100,ONE+HUNDRED,1,,5-C-L,,1,,,ONE+HUNDRED,number
100,ONE+HUNDRED,1,,crvd-B,,1,,,ONE+HUNDRED,number
1000,THOUSAND,bent-B-L,B-L,bent-B-L,B-L,1,,,,number
1000,ONE+THOUSAND,1,,bent-B-L,B-L,1,,,ONE+THOUSAND,number
101,CENT+ONE,1,,1,,1,,,CENT+ONE,number
105,CENT+FIVE,I-L-Y,,5,,1,,,CENT+FIVE,number
108,CENT+EIGHT,1,,8,,1,,,CENT+EIGHT,number
110,CENT+TEN,1,,10,,1,,,CENT+TEN,number
110,CENT+TEN,L,,10,,1,,,CENT+TEN,number
12,TWELVE,cocked-U,,V,,1,,,,number
12,TWELVE,S,,V,,1,,,,number
125,CENT+TWENTY-FIVE,1,,25,,1,,,CENT+TWENTY-FIVE,number
125,CENT+TWENTY-FIVE,D,,25,,1,,,CENT+TWENTY-FIVE,number
13,THIRTEEN,U-L,,bent-U-L,,1,,,,number
14,FOURTEEN,bent-B-xd,,bent-B-xd,,1,,,,number
15,FIFTEEN,B-L,,bent-B-L,,1,,,,number
16,SIXTEEN,6,,6,,1,,,,number
16,SIXTEEN,A,,6,,1,,,,number
17,SEVENTEEN,7,,7,,1,,,,number
17,SEVENTEEN,A,,7,,1,,,,number
18,EIGHTEEN,8,,8,,1,,,,number
18,TEN+EIGHT,A,,8,,1,,,TEN+EIGHT,number
19,NINETEEN,F,,F,,1,,,,number
19,NINETEEN,10,,F,,1,,,,number
2,TWO,V,,V,,1,,,,number
20,TWENTY,L,,flat-G,,1,,,,number
20,TWENTY,L,,baby-O,,1,,,,number
20,TWENTY,crvd-L,,flat-G,,1,,,,number
21,TWENTY-ONE,L,,L,,1,,,,number
22,TWENTY-TWO,V,,V,,1,,,,number
23,TWENTY-THREE,3,,3,,1,,,,number
25,TWENTY-FIVE,25,,25,,1,,,,number
3,THREE,3,,3,,1,,,,number
3/4,THREE-FOURTHS,3,,4,,1,,,,number
30,THIRTY,3,,flat-O,,1,,,,number
30,THIRTY,3,,flat-O_2,,1,,,,number
33,THIRTY-THREE,3,,3,,1,,,,number
3RD,THIRD,3,,3,,1,,,,
4,FOUR,4,,4,,1,,,,number
40,FORTY,4,,full-M,,1,,,,number
40,FORTY,4,,O,,1,,,,number
44,FORTY-FOUR,4,,4,,1,,,,number
5,FIVE,5,,5,,1,,,,number
55,FIFTY-FIVE,5,,5,,1,,,,number
5TH,FIFTH,5,,5,,1,,,,
6,SIX,6,,6,,1,,,,number
66,SIXTY-SIX,6,,6,,1,,,,number
67,SIXTY-SEVEN,6,,7,,1,,,,number
68,SIXTY-EIGHT,6,,8,,1,,,,number
69,SIXTY-NINE,6,,F,,1,,,,number
6TH,SIXTH,6,,6,,1,,,,
7,SEVEN,7,,7,,1,,,,number
76,SEVENTY-SIX,7,,6,,1,,,,number
77,SEVENTY-SEVEN,7,,7,,1,,,,number
78,SEVENTY-EIGHT,7,,8,,1,,,,number
79,SEVENTY-NINE,7,,F,,1,,,,number
7TH,SEVENTH,7,,7,,1,,,,
8,EIGHT,8,,8,,1,,,,number
88,EIGHTY-EIGHT,8,,8,,1,,,,number
89,EIGHTY-NINE,8,,F,,1,,,,number
89,EIGHTY-NINE,8,,6,,1,,,,number
8TH,EIGHTH,8,,8,,1,,,,
9,NINE,F,,F,,1,,,,number
97,NINETY-SEVEN,F,,7,,1,,,,number
98,NINETY-EIGHT,F,,8,,1,,,,number
99,NINETY-NINE,F,,F,,1,,,,number
9TH,NINTH,F,,F,,1,,,,
A,A,A,,A,,1,,,,alphabet
A LEVEL ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
A LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
A LOT,A-LOT,5,5,5,5,1,,,,
A LOT,A-LOT,5,5,crvd-5,crvd-5,1,,,,
ABANDON,ABANDON,S,S,5,5,1,,,,
ABORTION,ABORTION,5-C-L,5,5,5,1,,,,
ABORTION,ABORTION,crvd-5,B-L,5,B-L,1,,,,
ABORTION,ABORTION,S,B-L,crvd-5,B-L,1,,,,
ABORTION,ABORTION,5,,5,,1,,,,
ABOUT,ABOUT,1,1,1,1,1,,,,
ABOUT,ABOUT,1,flat-O,1,flat-O,1,,,,
ABOVE,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
ABRASIVE,"DCL\rough surface\""""",5-C,B-L,5-C,B-L,1,,,,rough surface
ABSENT,ABSENT,1,25,1,25,1,,,,
ABSTRACT,ABSTRACT,5,5,5,5,1,,,,
ABUSE,ABUSE,S,1,S,1,1,,,,
ABUSE,ABUSE,A,1,A,1,1,,,,
AC,#AC,A,,C,,1,,,,loan
ACCEPT,ACCEPT,5,5,flat-O,flat-O,1,,,,
ACCIDENT,ACCIDENT,S,S,S,S,1,,,,
ACCIDENT,ACCIDENT,5,5,10,10,1,,,,
ACCIDENT,ACCIDENT,5,5,S,S,1,,,,
ACCIDENT,ACCIDENT,3,3,S,A,1,,,,
ACCIDENT,ACCIDENT,5,5,A,A,1,,,,
ACCOMPANY,ACCOMPANY,A,A,A,A,1,,,,
ACQUIRE,ACQUIRE,open-8,open-8,8,8,1,,,,
ACT,ACT,A,A,A,A,1,,,,
ACT,ACT,10,10,10,10,1,,,,
ACTION,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
ACTION,ACTION,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,1,,,,
ACTION,ACTION,crvd-sprd-B,crvd-5,crvd-5,crvd-sprd-B,1,,,,
ACTION,ACTION,C,C,C,C,1,,,,
