video_id,main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,video_file,handedness,variant_1,variant_2,compounded_word,notes
121,CHEAT,(1)CHEAT,1,B-L,1,B,ASL_2008_01_11_scene71-camera1.mov,1,,,,
499,CHEAT,(1)CHEAT,bent-1,B,bent-1,B,ASL_2008_01_11_scene72-camera1.mov,1,,,,
500,CHEAT,(1)CHEAT,bent-1,psv,bent-1,psv,ASL_2008_08_04_scene45-camera1.mov,1,,,,
207690,CHEAT,(1)CHEAT,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov,1,,,,
501,CHEAT,(1)CHEAT,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov,1,,,,
146,WHO,(1)WHO,1,,1,,ASL_2008_03_28_scene41-camera1.mov,1,,,,
147,WHO,(1)WHO,1,,1,,ASL_2011_07_22_Brady_scene30-camera1.mov,1,,,,
39023,UNINTERESTING,(1h)(L-X)INTERESTING+ZERO_2,L-X,,O,B-L,ASL_2008_02_15_scene21-camera1.mov,1,,,INTERESTING+ZERO,
39031,GOOD MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,B-L,,B-L,,ASL_2008_02_01_scene9-camera1.mov,1,GOOD,THANK-YOU,MORNING,
39032,GOOD MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,B-L,,B-L,,ASL_2008_05_29a_scene40-camera1.mov,1,GOOD,THANK-YOU,MORNING,
39033,GOOD MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,B-L,,B-L,,ASL_2008_08_13_scene8-camera1.mov,1,GOOD,THANK-YOU,MORNING,
40141,GOOD ENOUGH,(1h)GOOD/THANK-YOU+ENOUGH,B-L,,B-L,S,ASL_2006_10_10_scene12-camera1.mov,1,GOOD,THANK-YOU,ENOUGH,
40142,GOOD ENOUGH,(1h)GOOD/THANK-YOU+ENOUGH,B-L,,B-L,S,ASL_2007_05_24_scene16-camera1.mov,1,GOOD,THANK-YOU,ENOUGH,
40143,GOOD LUCK,(1h)GOOD/THANK-YOU+LUCKY,B-L,,25,,ASL_2008_02_01_scene9-camera1.mov,1,GOOD,THANK-YOU,LUCKY,
40144,GOOD LUCK,(1h)GOOD/THANK-YOU+LUCKY,B-L,,25,,ASL_2008_05_29a_scene39-camera1.mov,1,GOOD,THANK-YOU,LUCKY,
40145,GOOD LUCK,(1h)GOOD/THANK-YOU+LUCKY,B-L,,25,,ASL_2008_08_13_scene8-camera1.mov,1,GOOD,THANK-YOU,LUCKY,
39034,GOOD MORNING,(1h)GOOD/THANK-YOU+MORNING,B-L,,B-L,B-L,ASL_2008_02_01_scene9-camera1.mov,1,GOOD,THANK-YOU,MORNING,
39035,GOOD NIGHT,(1h)GOOD/THANK-YOU+NIGHT,bent-B-L,,bent-B-L,psv,ASL_2008_02_01_scene9-camera1.mov,1,GOOD,THANK-YOU,NIGHT,
39036,GOOD NIGHT,(1h)GOOD/THANK-YOU+NIGHT,bent-B-L,,bent-B-L,B-L,ASL_2008_08_13_scene8-camera1.mov,1,GOOD,THANK-YOU,NIGHT,
39038,BARBER,(1h)HAIRCUT+AGENT,V,,B-L,B-L,ASL_2008_01_11_scene32-camera1.mov,1,,,HAIRCUT+AGENT,
39040,HAMMERER,(1h)HAMMER+AGENT,X-over-thumb,,B-L,B-L,ASL_2011_06_14_Brady_scene43-camera1.mov,1,,,HAMMER+AGENT,
39044,HAPPIEST,(1h)HAPPY+(1h)MOST,B-L,,10,,ASL_2008_02_15_scene46-camera1.mov,1,,,HAPPY+MOST,
39045,HAPPY NEW YEAR,(1h)HAPPY+NEW+YEAR,B-L,,S,S,ASL_2011_07_22_Brady_scene51-camera1.mov,1,,,HAPPY+NEW,
39046,HAPPY NEW YEAR,(1h)HAPPY+NEW+YEAR,B-L,,S,S,ASL_2011_07_19_Brady_scene69-camera1.mov,1,,,HAPPY+NEW,
39071,FIREPLACE,(2h)alt.FIRE+PLACE,5,5,K,K,ASL_2011_06_14_Brady_scene18-camera1.mov,2,,,FIRE+PLACE,
39073,BARBER,(2h)alt.HAIRCUT+AGENT,V,V,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,2,,,HAIRCUT+AGENT,
39077,DRIBBLE AND SHOOT,(2h)DRIBBLE+SHOOT-BASKET,5,5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene22-camera1.mov,2,,,DRIBBLE+SHOOT-BASKET,
39081,HORSE,"(2h)HORSE+ICL:S\holding moving pole\""""",U-L,U-L,S,S,ASL_2008_06_10_scene12-camera1.mov,2,,,,holding moving pole
404,FOOT,(5)FOOT,5,5,5,5,ASL_2008_05_29a_scene20-camera1.mov,1,,,,
405,FOOT,(5)FOOT,5,,5,,ASL_2008_05_29a_scene26-camera1.mov,1,,,,
414,WEATHER,(5)WEATHER,5,5,5,5,ASL_2008_03_28_scene37-camera1.mov,1,,,,
415,WEATHER,(5)WEATHER,5,5,5,5,ASL_2011_07_22_Brady_scene26-camera1.mov,1,,,,
431,AFRICA,(A)ns-AFRICA,A,,A,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene8-camera1.mov,1,,,,
432,AFRICA,(A)ns-AFRICA,A,,A,,ASL_2008_08_04_scene6-camera1.mov,1,,,,
444,NAPKIN,(B-L)NAPKIN,B-L,,B-L,,ASL_2008_02_15_scene15-camera1.mov,1,,,,
441,BLINDS,(B)BLINDS,crvd-flat-B,crvd-flat-B,crvd-flat-B,crvd-flat-B,ASL_2008_01_11_scene46-camera1.mov,1,,,,
457,VOMIT,(C)VOMIT,C,,C,,ASL_2011_07_22_Brady_scene21-camera1.mov,1,,,,
458,BLIND,(cheek)BLIND,crvd-V,,crvd-V,,ASL_2008_01_11_scene46-camera1.mov,1,,,,
459,BLIND,(cheek)BLIND,crvd-V,,crvd-V,,ASL_2008_08_04_scene29-camera1.mov,1,,,,
460,FOOL,(cocked-8)FOOL,cocked-8,,5,,ASL_2008_05_29a_scene25-camera1.mov,1,,,,
495,E-MAIL,(E)E-MAIL,E,1,E,1,ASL_2008_01_18_scene26-camera1.mov,1,,,,
496,E-MAIL,(E)E-MAIL,E,1,E,1,ASL_2011_06_14_Brady_scene9-camera1.mov,1,,,,
522,THANKSGIVING,(G)THANKSGIVING,G,,G,,ASL_2008_03_28_scene9-camera1.mov,1,,,,
538,KITCHEN,(K)KITCHEN,K,B-L,K,B-L,ASL_2008_02_01_scene41-camera1.mov,1,,,,
540,KITCHEN,(K)KITCHEN,K,B-L,K,B-L,ASL_2008_08_13_scene34-camera1.mov,1,,,,
207954,KITCHEN,(K)KITCHEN,K,B-L,K,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,1,,,,
539,KITCHEN,(K)KITCHEN,K,B-L,K,B-L,ASL_2008_05_29b_scene14-camera1.mov,1,,,,
555,INTERESTING,(L-X)INTERESTING,L-X,crvd-B,X-over-thumb,X-over-thumb,ASL_2008_02_01_scene34-camera1.mov,1,,,,
556,INTERESTING,(L-X)INTERESTING,L-X,L-X,A,A,ASL_2008_05_29b_scene8-camera1.mov,1,,,,
557,INTERESTING,(L-X)INTERESTING,L-X,L-X,X-over-thumb,X-over-thumb,ASL_2008_08_13_scene28-camera1.mov,1,,,,
558,INTERESTING,(L-X)INTERESTING,L-X,L-X,A,A,ASL_2011_06_14_Brady_scene41-camera1.mov,1,,,,
559,THICK,(L-X)THICK,L-X,,L-X,,ASL_2008_03_28_scene10-camera1.mov,1,,,,
207912,THICK,(L-X)THICK,L-X,,L-X,,ASL_2011_07_19_Brady_scene114-camera1.mov,1,,,,
544,LEATHER,(L)LEATHER,L,,L,,ASL_2008_02_01_scene45-camera1.mov,1,,,,
545,LEATHER,(L)LEATHER,L,,L,,ASL_2008_08_13_session2_scene1-camera1.mov,1,,,,
546,LEATHER,(L)LEATHER,L,,crvd-L,,ASL_2008_05_29b_scene18-camera1.mov,1,,,,
547,LEATHER,(L)LEATHER,L,,L,,ASL_2011_06_14_Brady_scene47-camera1.mov,1,,,,
39116,LIVE BROADCAST,(L)LIVE+BOX/ROOM,L,L,B-L,B-L,ASL_2008_06_10_scene3-camera1.mov,1,BOX,ROOM,BOX/ROOM,
39117,LIVE BROADCAST,(L)LIVE+BOX/ROOM,L,L,B-L,B-L,ASL_2011_06_14_Brady_scene50-camera1.mov,1,BOX,ROOM,BOX/ROOM,
553,RIFLE,(L)RIFLE,L,L,L,L,ASL_2008_02_29_scene15-camera1.mov,1,,,,
566,MEXICO,(M)ns-MEXICO,full-M,,full-M,,ASL_2011_06_14_Brady_scene56-camera1.mov,1,,,,
606,PARANOID,(P)PARANOID,K,K,K,K,ASL_2008_02_15_scene31-camera1.mov,1,,,,
607,PARANOID,(P)PARANOID,K,K,K,K,ASL_2011_07_19_Brady_scene26-camera1.mov,1,,,,
608,PARTICIPATE,(P)PARTICIPATE,K,C,K,C,ASL_2008_02_15_scene31-camera1.mov,1,,,,
611,PENIS,(P)PENIS,K,,K,,ASL_2008_02_15_scene34-camera1.mov,1,,,,
619,BEST FRIEND,(R)BEST-FRIEND,R,,R,,ASL_2008_05_29a_scene39-camera1.mov,1,,,,
620,BEST FRIEND,(R)BEST-FRIEND,R,,R,,ASL_2011_06_14_Brady_scene27-camera1.mov,1,,,,
654,BOMB,(S)BOMB,S,S,S,S,ASL_2008_01_11_scene50-camera1.mov,1,,,,
655,BOMB,(S)BOMB,S,S,S,S,ASL_2008_08_04_scene32-camera1.mov,1,,,,
656,BOMB,(S)BOMB,S,S,S,S,ASL_2011_06_08_Brady_scene22-camera1.mov,1,,,,
658,BROOM,(S)BROOM,S,S,S,S,ASL_2008_01_11_scene56-camera1.mov,1,,,,
207669,BROOM,(S)BROOM,S,S,S,S,ASL_2008_08_04_scene36-camera1.mov,1,,,,
207670,BROOM,(S)BROOM,S,S,S,S,ASL_2011_06_08_Brady_scene23-camera1.mov,1,,,,
659,BROOM,(S)BROOM,S,S,S,S,ASL_2008_05_12a_scene35-camera1.mov,1,,,,
666,KETCHUP,(S)KETCHUP,5,S,5,S,ASL_2008_02_01_scene40-camera1.mov,1,,,,
667,KETCHUP,(S)KETCHUP,5,S,5,S,ASL_2008_08_13_scene33-camera1.mov,1,,,,
668,KETCHUP,(S)KETCHUP,B-L,O,B-L,O,ASL_2011_06_14_Brady_scene44-camera1.mov,1,,,,
669,KETCHUP,(S)KETCHUP,5,S,5,S,ASL_2008_05_29b_scene13-camera1.mov,1,,,,
670,MOSQUITO,(S)MOSQUITO,S,S,S,S,ASL_2008_02_15_scene10-camera1.mov,1,,,,
671,MOSQUITO,(S)MOSQUITO,S,S,S,S,ASL_2008_06_10_scene19-camera1.mov,1,,,,
672,MOSQUITO,(S)MOSQUITO,S,S,S,S,ASL_2011_07_19_Brady_scene6-camera1.mov,1,,,,
39138,OLD,(S)OLD+AVERAGE,S,,B-L,B-L,ASL_2008_02_29_scene6-camera1.mov,1,,,OLD+AVERAGE,
675,PURSE,(S)PURSE,S,,S,,ASL_2011_07_19_Brady_scene47-camera1.mov,1,,,,
678,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_01_11_scene52-camera1.mov,1,,,,
679,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_02_29_scene14-camera1.mov,1,,,,
680,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_03_28_scene25-camera1.mov,1,,,,
681,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_05_12a_scene32-camera1.mov,1,,,,
682,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_08_04_scene33-camera1.mov,1,,,,
683,BOWTIE,(U)BOWTIE,S,S,U,U,ASL_2011_06_08_Brady_scene22-camera1.mov,1,,,,
684,BOWTIE,(U)BOWTIE,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov,1,,,,
685,BOWTIE,(U)BOWTIE,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov,1,,,,
686,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene13-camera1.mov,1,,,,
687,BOWTIE,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene56-camera1.mov,1,,,,
701,CRAWL,(V)CRAWL,V,B-L,crvd-V,B-L,ASL_2008_01_18_scene8-camera1.mov,1,,,,
702,CRAWL,(V)CRAWL,V,B-L,crvd-V,B-L,ASL_2008_08_06_scene8-camera1.mov,1,,,,
716,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2008_01_18_scene46-camera1.mov,1,FOOL,DOLL,,
207956,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2008_08_06_scene46-camera1.mov,1,FOOL,DOLL,,
207957,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2011_06_14_Brady_scene21-camera1.mov,1,FOOL,DOLL,,
718,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2008_01_18_scene21-camera1.mov,1,FOOL,DOLL,,
719,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2008_08_06_scene21-camera1.mov,1,FOOL,DOLL,,
720,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2011_06_08_Brady_scene37-camera1.mov,1,FOOL,DOLL,,
721,FOOL/DOLL,(X)FOOL/DOLL,X,,X,,ASL_2008_05_29a_scene1-camera1.mov,1,FOOL,DOLL,,
39152,FOOL'S DAY,(X)FOOL/DOLL+(D)DAY,X,,D,psv,ASL_2008_01_11_scene20-camera1.mov,1,FOOL,DOLL,DAY,
39153,FOOL'S DAY,(X)FOOL/DOLL+(D)DAY,X,,D,psv,ASL_2011_06_08_Brady_scene12-camera1.mov,1,FOOL,DOLL,DAY,
729,BATHING SUIT,(Y)BATHING-SUIT,Y,Y,Y,Y,ASL_2008_03_28_scene2-camera1.mov,1,,,,
730,BATHING SUIT,(Y)BATHING-SUIT,Y,Y,Y,Y,ASL_2010_08_10_Liz_additional_lexicon_signs_scene9-camera1.mov,1,,,,
731,BULL,(Y)BULL,Y,,Y,,ASL_2008_01_11_scene59-camera1.mov,1,,,,
732,BULL,(Y)BULL,Y,,Y,,ASL_2008_05_12a_scene36-camera1.mov,1,,,,
733,BULL,(Y)BULL,Y,,Y,,ASL_2008_08_04_scene37-camera1.mov,1,,,,
734,BULL,(Y)BULL,Y,,Y,,ASL_2011_06_08_Brady_scene24-camera1.mov,1,,,,
8822,WHAT,"\WHAT\""""",5,5,5,5,ASL_2008_03_28_scene38-camera1.mov,1,,,,
8823,WHAT,"\WHAT\""""",5,5,5,5,ASL_2008_03_28_scene39-camera1.mov,1,,,,
3,WHAT,"\WHAT\""""",5,5,5,5,ASL_2006_01_20_scene22-camera1.mov,1,,,,
4,WHAT,"\WHAT\""""",5,5,5,5,ASL_2011_07_22_Brady_scene27-camera1.mov,1,,,,
5,AC,#AC,A,,C,,ASL_2008_01_11_scene4-camera1.mov,1,,,,fingerspelled
6,AC,#AC,A,,C,,ASL_2008_05_12a_scene3-camera1.mov,1,,,,fingerspelled
7,AC,#AC,A,,C,,ASL_2008_08_04_scene3-camera1.mov,1,,,,fingerspelled
8,AC,#AC,A,,C,,ASL_2011_07_22_Brady_scene37-camera1.mov,1,,,,fingerspelled
9,ALL,#ALL,A,,L,,ASL_2008_01_11_scene12-camera1.mov,1,,,,fingerspelled
10,ALL,#ALL,A,,L,,ASL_2008_05_12a_scene9-camera1.mov,1,,,,fingerspelled
11,ALL,#ALL,A,,L,,ASL_2008_08_04_scene8-camera1.mov,1,,,,fingerspelled
12,ALL,#ALL,A,,L,,ASL_2011_06_08_Brady_scene10-camera1.mov,1,,,,fingerspelled
13,ALL,#ALL,A,,L,,ASL_2007_05_24_scene5-camera1.mov,1,,,,fingerspelled
14,ALL,#ALL,A,,L,,ASL_2006_10_10_scene2-camera1.mov,1,,,,fingerspelled
15,ASL,#ASL,A,,L,,ASL_2008_01_11_scene23-camera1.mov,1,,,,fingerspelled
16,ASL,#ASL,A,,L,,ASL_2008_05_12a_scene10-camera1.mov,1,,,,fingerspelled
17,ASL,#ASL,A,,L,,ASL_2008_05_12a_scene15-camera1.mov,1,,,,fingerspelled
18,ASL,#ASL,A,,L,,ASL_2008_08_04_scene15-camera1.mov,1,,,,fingerspelled
19,ASL,#ASL,A,,L,,ASL_2011_06_08_Brady_scene11-camera1.mov,1,,,,fingerspelled
20,ASL,#ASL,A,,L,,ASL_2011_06_08_Brady_scene13-camera1.mov,1,,,,fingerspelled
272,BACK,#BACK,B-xd,B-xd,K,K,ASL_2008_01_11_scene28-camera1.mov,1,,,,fingerspelled
273,BACK,#BACK,B-L,B-L,3,3,ASL_2011_06_08_Brady_scene15-camera1.mov,1,,,,fingerspelled
21,BACK,#BACK,B,,K,,ASL_2008_01_11_scene28-camera1.mov,1,,,,fingerspelled
22,BACK,#BACK,S,,K,,ASL_2008_05_12a_scene18-camera1.mov,1,,,,fingerspelled
23,BACK,#BACK,flat-B,,3,,ASL_2011_06_08_Brady_scene15-camera1.mov,1,,,,fingerspelled
24,BACK,#BACK,B,,K,,ASL_2008_08_04_scene18-camera1.mov,1,,,,fingerspelled
25,BBQ,#BBQ,B,,G,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene24-camera1.mov,1,,,,fingerspelled
26,BBQ,#BBQ,B,,alt-G_bent-L,,ASL_2011_06_08_Brady_scene16-camera1.mov,1,,,,fingerspelled
27,BUS,#BUS,B,,S,,ASL_2008_01_11_scene59-camera1.mov,1,,,,fingerspelled
28,BUS,#BUS,B,,S,,ASL_2008_05_12a_scene37-camera1.mov,1,,,,fingerspelled
29,BUS,#BUS,B,,S,,ASL_2008_08_04_scene38-camera1.mov,1,,,,fingerspelled
30,BUS,#BUS,B-xd,,S,,ASL_2011_06_08_Brady_scene24-camera1.mov,1,,,,fingerspelled
31,CC,#CC,C,,C,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene9-camera1.mov,1,,,,fingerspelled
32,CC,#CC,C,,C,,ASL_2011_06_08_Brady_scene26-camera1.mov,1,,,,fingerspelled
