Video ID number,Main entry gloss label,Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file
121,(1)CHEAT,1,B-L,1,B,ASL_2008_01_11_scene71-camera1.mov
499,(1)CHEAT,bent-1,B,bent-1,B,ASL_2008_01_11_scene72-camera1.mov
500,(1)CHEAT,bent-1,psv,bent-1,psv,ASL_2008_08_04_scene45-camera1.mov
207690,(1)CHEAT,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov
501,(1)CHEAT,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov
146,(1)WHO,1,,1,,ASL_2008_03_28_scene41-camera1.mov
147,(1)WHO,1,,1,,ASL_2011_07_22_Brady_scene30-camera1.mov
39023,(1h)(L-X)INTERESTING+ZERO_2,L-X,,O,B-L,ASL_2008_02_15_scene21-camera1.mov
39031,(1h)GOOD/THANK-YOU+(1h)MORNING,B-L,,B-L,,ASL_2008_02_01_scene9-camera1.mov
39032,(1h)GOOD/THANK-YOU+(1h)MORNING,B-L,,B-L,,ASL_2008_05_29a_scene40-camera1.mov
39033,(1h)GOOD/THANK-YOU+(1h)MORNING,B-L,,B-L,,ASL_2008_08_13_scene8-camera1.mov
40141,(1h)GOOD/THANK-YOU+ENOUGH,B-L,,B-L,S,ASL_2006_10_10_scene12-camera1.mov
40142,(1h)GOOD/THANK-YOU+ENOUGH,B-L,,B-L,S,ASL_2007_05_24_scene16-camera1.mov
40143,(1h)GOOD/THANK-YOU+LUCKY,B-L,,25,,ASL_2008_02_01_scene9-camera1.mov
40144,(1h)GOOD/THANK-YOU+LUCKY,B-L,,25,,ASL_2008_05_29a_scene39-camera1.mov
40145,(1h)GOOD/THANK-YOU+LUCKY,B-L,,25,,ASL_2008_08_13_scene8-camera1.mov
39034,(1h)GOOD/THANK-YOU+MORNING,B-L,,B-L,B-L,ASL_2008_02_01_scene9-camera1.mov
39035,(1h)GOOD/THANK-YOU+NIGHT,bent-B-L,,bent-B-L,psv,ASL_2008_02_01_scene9-camera1.mov
39036,(1h)GOOD/THANK-YOU+NIGHT,bent-B-L,,bent-B-L,B-L,ASL_2008_08_13_scene8-camera1.mov
39038,(1h)HAIRCUT+AGENT,V,,B-L,B-L,ASL_2008_01_11_scene32-camera1.mov
39040,(1h)HAMMER+AGENT,X-over-thumb,,B-L,B-L,ASL_2011_06_14_Brady_scene43-camera1.mov
39044,(1h)HAPPY+(1h)MOST,B-L,,10,,ASL_2008_02_15_scene46-camera1.mov
39045,(1h)HAPPY+NEW+YEAR,B-L,,S,S,ASL_2011_07_22_Brady_scene51-camera1.mov
39046,(1h)HAPPY+NEW+YEAR,B-L,,S,S,ASL_2011_07_19_Brady_scene69-camera1.mov
39071,(2h)alt.FIRE+PLACE,5,5,K,K,ASL_2011_06_14_Brady_scene18-camera1.mov
39073,(2h)alt.HAIRCUT+AGENT,V,V,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov
39077,(2h)DRIBBLE+SHOOT-BASKET,5,5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene22-camera1.mov
39081,"(2h)HORSE+ICL:S\holding moving pole\""""",U-L,U-L,S,S,ASL_2008_06_10_scene12-camera1.mov
404,(5)FOOT,5,5,5,5,ASL_2008_05_29a_scene20-camera1.mov
405,(5)FOOT,5,,5,,ASL_2008_05_29a_scene26-camera1.mov
414,(5)WEATHER,5,5,5,5,ASL_2008_03_28_scene37-camera1.mov
415,(5)WEATHER,5,5,5,5,ASL_2011_07_22_Brady_scene26-camera1.mov
431,(A)ns-AFRICA,A,,A,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene8-camera1.mov
432,(A)ns-AFRICA,A,,A,,ASL_2008_08_04_scene6-camera1.mov
444,(B-L)NAPKIN,B-L,,B-L,,ASL_2008_02_15_scene15-camera1.mov
441,(B)BLINDS,crvd-flat-B,crvd-flat-B,crvd-flat-B,crvd-flat-B,ASL_2008_01_11_scene46-camera1.mov
457,(C)VOMIT,C,,C,,ASL_2011_07_22_Brady_scene21-camera1.mov
458,(cheek)BLIND,crvd-V,,crvd-V,,ASL_2008_01_11_scene46-camera1.mov
459,(cheek)BLIND,crvd-V,,crvd-V,,ASL_2008_08_04_scene29-camera1.mov
460,(cocked-8)FOOL,cocked-8,,5,,ASL_2008_05_29a_scene25-camera1.mov
495,(E)E-MAIL,E,1,E,1,ASL_2008_01_18_scene26-camera1.mov
496,(E)E-MAIL,E,1,E,1,ASL_2011_06_14_Brady_scene9-camera1.mov
522,(G)THANKSGIVING,G,,G,,ASL_2008_03_28_scene9-camera1.mov
538,(K)KITCHEN,K,B-L,K,B-L,ASL_2008_02_01_scene41-camera1.mov
540,(K)KITCHEN,K,B-L,K,B-L,ASL_2008_08_13_scene34-camera1.mov
207954,(K)KITCHEN,K,B-L,K,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov
539,(K)KITCHEN,K,B-L,K,B-L,ASL_2008_05_29b_scene14-camera1.mov
555,(L-X)INTERESTING,L-X,crvd-B,X-over-thumb,X-over-thumb,ASL_2008_02_01_scene34-camera1.mov
556,(L-X)INTERESTING,L-X,L-X,A,A,ASL_2008_05_29b_scene8-camera1.mov
557,(L-X)INTERESTING,L-X,L-X,X-over-thumb,X-over-thumb,ASL_2008_08_13_scene28-camera1.mov
